// MAX : 512

//Kailima_午後　7：05　2004－08－25
// 1 Kalima
147 1 "アエギス"
148 1 "ロードセンチュリオン"
146 1 "ブラッドソルジャー"
144 1 "デスエンジェル"
149 1 "ネクロン"
145 1 "デスセンチュリオン"
160 1 "シュリカー"
161 1 "クンドンの幻影"
// 2 Kalima
177 1 "アエギス"
178 1 "ロードセンチュリオン"
176 1 "ブラッドソルジャー"
174 1 "デスエンジェル"
179 1 "ネクロン"
175 1 "デスセンチュリオン"
180 1 "シュリカー"
181 1 "クンドンの幻影"
// 3 Kalima
185 1 "アエギス"
186 1 "ロードセンチュリオン"
184 1 "ブラッドソルジャー"
182 1 "デスエンジェル"
187 1 "ネクロン"
183 1 "デスセンチュリオン"
188 1 "シュリカー"
189 1 "クンドンの幻影"
// 4 Kalima
193 1 "アエギス"
194 1 "ロードセンチュリオン"
192 1 "ブラッドソルジャー"
190 1 "デスエンジェル"
195 1 "ネクロン"
191 1 "デスセンチュリオン"
196 1 "シュリカー"
197 1 "クンドンの幻影"
// 5 Kalima
263 1 "アエギス"
264 1 "ロードセンチュリオン"
262 1 "ブラッドソルジャー"
260 1 "デスエンジェル"
265 1 "ネクロン"
261 1 "デスセンチュリオン"
266 1 "シュリカー"
267 1 "クンドンの幻影"
// 6 Kalima
271 1 "アエギス"
272 1 "ロードセンチュリオン"
270 1 "ブラッドソルジャー"
268 1 "デスエンジェル"
273 1 "ネクロン"
269 1 "デスセンチュリオン"
274 1 "シュリカー"
275 1 "クンドン"

//ブラッドキャッスル1
84 1 "キングスカルアーマー"
85 1 "キングスカルアーチャー"
86 1 "ダークスカルアーマー"
87 1 "暗黒のオウガ"
88 1 "レッドスカルアーマー"
89 1 "髑髏メイジ"
//ブラッドキャッスル2
90 1 "キングスカルアーマー"
91 1 "キングスカルアーチャー"
92 1 "ダークスカルアーマー"
93 1 "暗黒のオウガ"
94 1 "レッドスカルアーマー"
95 1 "髑髏メイジ"
//ブラッドキャッスル3
96 1 "キングスカルアーマー"
97 1 "キングスカルアーチャー"
98 1 "ダークスカルアーマー"
99 1 "暗黒のオウガ"
111 1 "レッドスカルアーマー"
112 1 "髑髏メイジ"
//ブラッドキャッスル4
113 1 "キングスカルアーマー"
114 1 "キングスカルアーチャー"
115 1 "ダークスカルアーマー"
116 1 "暗黒のオウガ"
117 1 "レッドスカルアーマー"
118 1 "髑髏メイジ"
//ブラッドキャッスル5
119 1 "キングスカルアーマー"
120 1 "キングスカルアーチャー"
121 1 "ダークスカルアーマー"
122 1 "暗黒のオウガ"
123 1 "レッドスカルアーマー"
124 1 "髑髏メイジ"
//ブラッドキャッスル6
125 1 "キングスカルアーマー"
126 1 "キングスカルアーチャー"
127 1 "ダークスカルアーマー"
128 1 "暗黒のオウガ"
129 1 "レッドスカルアーマー"
130 1 "髑髏メイジ"
//ブラッドキャッスル7
138 1 "キングスカルアーマー"
139 1 "キングスカルアーチャー"
140 1 "ダークスカルアーマー"
141 1 "暗黒のオウガ"
142 1 "レッドスカルアーマー"
143 1 "髑髏メイジ"

131 1 "城門"
